team_name,played,won,drawn,lost,goals_for,goals_against,goal_difference,points
Coventry City,23,15,2,6,54,23,31,51
Middlesbrough,23,12,4,7,33,24,9,43
Hull City,23,11,7,5,39,37,2,38
Ipswich Town,23,10,5,8,38,23,15,38
Preston North End,23,9,4,10,30,23,7,37
Bristol City,23,10,7,6,32,25,7,36
Millwall,23,10,7,6,25,31,-6,36
Watford,23,9,6,8,33,29,4,35
Queens Park Rangers,23,10,8,5,33,35,-2,35
Stoke City,23,10,9,4,28,21,7,34
Derby County,23,8,7,8,32,31,1,32
Southampton,23,8,8,7,37,33,4,31
Leicester City,23,8,8,7,32,33,-1,31
Birmingham City,23,8,9,6,31,30,1,30
Wrexham,22,6,6,10,27,27,0,28
West Bromwich Albion,23,8,11,4,26,31,-5,28
Charlton Athletic,22,7,9,6,21,27,-6,27
Sheffield United,22,8,12,2,28,31,-3,26
Blackburn Rovers,22,7,10,5,22,26,-4,26
Swansea City,23,7,11,5,24,31,-7,26
Oxford United,23,5,11,7,24,32,-8,22
Portsmouth,22,5,10,7,19,29,-10,22
Norwich City,23,5,12,6,26,35,-9,21
Sheffield Wednesday,22,1,14,7,18,45,-27,-8
